# Movement serial history. One row per serial run. Movement Desk record.
# EXERCISE NORTHWIND SHELF - TRAINING SYNTHETIC. All units, places and events are invented.
serial,date,route,vehicles,departed_utc,closed_utc,heaviest_t,delay_min,remarks
26/058,2025-12-16,CINDER,31,0537,1513,11.8,29,"held outside the gate, staging full"
26/059,2025-12-22,AMBER,41,0617,1445,21.6,63,dust and poor visibility through the defile
26/060,2025-12-28,AMBER,20,0613,1418,6.9,0,clean run
26/061,2026-01-03,AMBER,41,0509,1214,18.2,0,clean run
26/062,2026-01-09,CINDER,18,0647,1704,6.9,0,clean run
26/063,2026-01-15,AMBER,39,0653,1605,11.8,37,surface water at the Marrow Cut
26/064,2026-01-21,AMBER,43,0617,1413,11.8,21,surface water at the Marrow Cut
26/065,2026-01-27,AMBER,16,0641,1413,11.8,37,dust and poor visibility through the defile
26/066,2026-02-02,CINDER,29,0447,1617,11.8,33,waited on staging at Node D
26/067,2026-02-08,AMBER,28,0543,1449,18.2,51,dust and poor visibility through the defile
26/068,2026-02-14,AMBER,42,0537,1425,21.6,63,dust and poor visibility through the defile
26/069,2026-02-20,AMBER,35,0517,1249,18.2,17,escort late to the start point
26/070,2026-02-26,CINDER,36,0413,1539,6.9,33,waited on staging at Node D
26/071,2026-03-04,AMBER,41,0609,1259,21.6,0,clean run
26/072,2026-03-10,AMBER,25,0547,1419,18.2,57,escort late to the start point
26/073,2026-03-16,AMBER,28,0653,1537,3.4,49,dust and poor visibility through the defile
26/074,2026-03-22,CINDER,24,0517,1647,3.4,53,waited on staging at Node D
26/075,2026-03-28,AMBER,36,0641,1435,6.9,69,dust and poor visibility through the defile
26/076,2026-04-03,AMBER,30,0647,1421,3.4,19,dust and poor visibility through the defile
26/077,2026-04-09,AMBER,24,0543,1427,3.4,79,surface water at the Marrow Cut
26/078,2026-04-15,CINDER,34,0537,1541,11.8,57,"stood down, river up"
26/079,2026-04-21,AMBER,43,0617,1453,11.8,21,surface water at the Marrow Cut
26/080,2026-04-27,AMBER,40,0513,1445,11.8,67,dust and poor visibility through the defile
26/081,2026-05-03,AMBER,32,0509,1154,6.9,0,clean run
26/082,2026-05-09,CINDER,26,0647,1757,6.9,53,waited on staging at Node D
26/083,2026-05-15,AMBER,18,0653,1439,18.2,11,dust and poor visibility through the defile
26/084,2026-05-21,AMBER,30,0517,1332,18.2,0,clean run
26/085,2026-05-27,AMBER,18,0641,1619,21.6,63,dust and poor visibility through the defile
26/086,2026-06-02,CINDER,37,0547,1737,3.4,53,waited on staging at Node D
26/087,2026-06-08,AMBER,21,0643,1338,6.9,0,clean run
26/088,2026-06-14,AMBER,31,0537,1311,3.4,29,dust and poor visibility through the defile
26/089,2026-06-20,AMBER,41,0617,1445,21.6,63,dust and poor visibility through the defile
26/090,2026-06-26,CINDER,20,0613,1759,3.4,53,waited on staging at Node D
26/091,2026-07-02,AMBER,41,0509,1214,18.2,0,clean run
26/092,2026-07-08,AMBER,18,0647,1507,6.9,75,surface water at the Marrow Cut
26/093,2026-07-14,AMBER,39,0653,1605,11.8,37,surface water at the Marrow Cut
26/094,2026-07-20,CINDER,43,0617,1715,6.9,21,"stood down, river up"
26/095,2026-07-26,AMBER,16,0641,1413,11.8,37,dust and poor visibility through the defile
26/096,2026-08-01,AMBER,29,0447,1215,21.6,33,held 20 min for a broken-down civilian vehicle
26/097,2026-08-07,AMBER,28,0543,1449,18.2,51,dust and poor visibility through the defile
26/098,2026-08-13,CINDER,42,0537,1547,11.8,63,waited on staging at Node D
26/099,2026-08-19,AMBER,35,0517,1249,18.2,17,escort late to the start point
